_kjeQW-RNyw,artificial intelligence;culture;philosophy
_o-XHGe0UAA,military
lHL0R4rN9Vg,religion
sUH3dnzLMm0,culture;politics
m4lxeOCiOys,politics
LD4ixYDPuXQ,artificial intelligence;politics
RG53F3qSBW8,military
Z8ZFbzYE1y0,military
c3SrSaGEWg0,media;politics
bBuFrywKJVA,technology
08Axk2jtq5c,media;narrative
SFWz9wKwvuM,artificial intelligence;economics;environment;law;philosophy
8hLYp8Ox6MU,nan
tCrVGvuPocs,artificial intelligence;education;philosophy;politics
_hOn3KFxqlI,philosophy
AgF79eQluvw,philosophy
GB5vfh7x2bE,media
Pak7I10BKCA,education;environment;media;narrative
yLCQ_rp6YKM,artificial intelligence;culture;development;media
ayBAkyu2qJA,artificial intelligence;culture
5ReipJ8VY6I,nan
jhZJYUIgfQk,artificial intelligence;conflict;law;military;politics
epA2rsWyP38,nan
Sdzo-MTsors,nan
JeW_hOW70sw,artificial intelligence;environment;tourism
z-psm84s6Q8,philosophy;sport
iF7HKl7oNlM,philosophy;sport
PNjaMg56KgY,artificial intelligence;conflict;economics;politics
x1Im_6L-gCA,economics;politics
Xvazburi7aU,media;politics
h5Xw3opE1wA,artificial intelligence;media;politics
7gr5gOfP-40,artificial intelligence;media;politics
PmUAh2qfGwY,artificial intelligence;conflict;politics
wV7x8P2kefI,artificial intelligence;conflict;politics
45n0fT8Cyak,artificial intelligence;conflict;law;military
YI89yBO-lhE,artificial intelligence;conflict;law;military
WM7e0YtXRI8,artificial intelligence;conflict;culture;education;religion
qVijCSdOIoo,artificial intelligence;culture;education;religion
oy_zE6G7Qzs,media
YVj0Zl6w0Xo,politics
4xF5Nu675PE,politics
5Elgthsky4E,artificial intelligence
zuscRZBlwG8,artificial intelligence;conflict;politics
zcyN2x02PnY,nan
7AM3EHo9sAE,artificial intelligence;conflict;philosophy
v1Gmk0VQ-ho,artificial intelligence
w7Wk1qXj2ZA,artificial intelligence
mw8PVl0Golw,artificial intelligence;military
zFbXK6afiH8,artificial intelligence;conflict;philosophy
gFmy_3UhuBw,artificial intelligence;conflict;philosophy
NcSI-Z-Qovg,education;politics
48H6CIIDTOk,artificial intelligence;economics
WpUhmYVB9JY,artificial intelligence;politics
ImR8juaLda0,education
liPdIzvAEOI,nan
PeLR85dXar0,artificial intelligence;politics
0tHTgIvgB-w,artificial intelligence;development;economics;philosophy
5ib1X2Se5Ss,nan
Xoms3oYeojg,philosophy
kevL_Fe_WdY,artificial intelligence;philosophy
sSKW12HTFAY,artificial intelligence
xQT85N4kCnw,artificial intelligence;criminal justice system;economics;environment;media;philosophy;politics;social movement
aK94FKyD9Dw,philosophy
qiic5jUhpos,criminal justice system;economics;environment;media;philosophy;politics;social movement
JuS2PIQFivM,nan
0sI3Nokqq7g,nan
upvkScE5xAQ,artificial intelligence;criminal justice system
Eo6fhTY4jO8,artificial intelligence;media;philosophy
jZDK4L7Z2jA,philosophy
WZwRRnzYQTk,nan
3MELfhiHd-s,artificial intelligence;media
ekcu7wxumxg,media;philosophy;social movement
f2YZJfJe0UA,media;philosophy
1ncTrQib18U,animal right;media
FWIqj_04lfM,education;media;philosophy
u7Id-KddhyE,media
KgjZc3NXxv8,media;sport
zGCy-dNXCPA,media;philosophy
7a_cEsiUcrg,development;media;philosophy;social movement
r9ZGZAEVarI,media;technology
_AGoAYrB_HA,artificial intelligence;media
IUK225iFPL4,media;philosophy
EBo0lRLEIrQ,artificial intelligence;education;social movement
rD-jUWdPggY,education;law
